"STA","Station Name","Elevation","Latitude","Longitude","Nearby City","Hydro #","Basin #","Owner","Maintenance","Operator","Map #","Collect #","County Name","Basin Name","Agency Name","Hydro Area","Sensors"
"VSL","VISALIA","325","36.333","-119.3","VISALIA","7","9801","0","0","40","31","0","TULARE","TULARE LAKE","National Weather Service","TULARE LAKE","2"
"WCV","WILLIAMS-CENTRAL VLY","85","39.15","-122.15","COLUSA","5","7101","0","0","999","12","0","COLUSA","SACTO VLY WEST",".None Specified","SACRAMENTO RIVER","2"
"WDL","WOODLAND 1 WNW","69","38.683","-121.8","WOODLAND","5","7101","0","0","40","17","0","YOLO","SACTO VLY WEST","National Weather Service","SACRAMENTO RIVER","2"
"WFH","WOFFORD HEIGHTS","2700","35.717","-118.45","KERNVILLE","7","9701","0","0","999","39","0","none specified","KERN R",".None Specified","TULARE LAKE","2"
"WHI","WHISKEYTOWN DAM (USBR)","1210","40.598","-122.537","REDDING","5","6501","0","0","50","8","0","SHASTA","SACRAMENTO R","US Bureau of Reclamation","SACRAMENTO RIVER","2,6,7,8,15,22,23,45,48,71,74,76,85"
"WHK","WHISKEYTOWN DAM (OBSERVER)","1220","40.6","-122.55","REDDING","5","6501","0","0","3","8","0","SHASTA","SACRAMENTO R","CA Dept of Forestry and Fire Protection","SACRAMENTO RIVER","2,45"
"WLM","WILLIAMS","330","39.15","-122.15","COLUSA","5","7101","0","0","999","12","0","COLUSA","SACTO VLY WEST",".None Specified","SACRAMENTO RIVER","2"
"WLO","WILLOWS 6W","233","39.517","-122.3","ORLAND","5","7101","0","0","999","12","0","GLENN","SACTO VLY WEST",".None Specified","SACRAMENTO RIVER","2"
"WLS","MOUNT WILSON NO 2","5709","34.233","-118.067","GLENDALE","4","4301","0","0","40","46","0","LOS ANGELES","VENTURA LA COASTAL","National Weather Service","SOUTH COAST","2"
"WNT","WINTERS","135","38.517","-121.967","DAVIS","5","8001","0","0","40","17","0","YOLO","PUTAH CR","National Weather Service","SACRAMENTO RIVER","2"
"WPT","WEST POINT","2775","38.377","-120.545","MOKELUMNE HILL","6","8301","0","0","40","18","0","CALAVERAS","MOKELUMNE R","National Weather Service","SAN JOAQUIN RIVER","2"
"WRS","WARM SPRINGS (USACE)","440","38.723","-123.01","GEYSERVILLE","1","1601","0","0","56","15","11","SONOMA","RUSSIAN R","US Army Corps of Engineers","NORTH COAST","2,6,7,15,22,23,31,32,45,64,76,91,94,200"
"WSC","WASCO","345","35.6","-119.333","BAKERSFIELD","7","9801","0","0","115","38","0","KERN","TULARE LAKE","Kern County","TULARE LAKE","2"
"WSD","WISHON DAM (PG&E)","6550","37.003","-118.986","GRANT GROVE","7","9401","0","0","60","26","0","FRESNO","KINGS R","Pacific Gas & Electric","TULARE LAKE","2,14,16,30,31,32,45"
"WSH","LAKE WISHON","6550","37.011","-118.983","FRESNO","7","9401","0","0","60","26","0","FRESNO","KINGS R","Pacific Gas & Electric","TULARE LAKE","2,45"
"WTW","WATSONVILLE WATER","95","36.933","-121.767","SANTA CRUZ","3","3201","0","0","40","29","0","SANTA CRUZ","PAJARO R","National Weather Service","CENTRAL COAST","2"
"WVR","WEAVERVILLE RS","2050","40.733","-122.95","WEAVERVILLE","1","901","0","0","44","8","0","TRINITY","TRINITY R","US Forest Service","NORTH COAST","2,4,9,10,11,12,13,14,26,31,32,45,77,78"
"YOW","YOSEMITE NEAR WAWONA","4957","37.508","-119.632","WAWONA","6","8701","0","0","204","25","0","MARIPOSA","MERCED R","Merced Irrigation District","SAN JOAQUIN RIVER","2,4,14,16,30,31,32,45"
"YRK","YREKA","2625","41.7","-122.633","YREKA","1","201","0","0","44","3","0","SISKIYOU","KLAMATH R","US Forest Service","NORTH COAST","2"
"YSM","YOSEMITE (OBS)","3985","37.74","-119.583","YOSEMITE VILLAGE","6","8701","0","0","40","25","0","MARIPOSA","MERCED R","National Weather Service","SAN JOAQUIN RIVER","2,45"
"YSV","YOSEMITE HEADQUARTERS","3966","37.74","-119.583","YOSEMITE VILLAGE","6","8701","0","0","204","25","0","MARIPOSA","MERCED R","Merced Irrigation District","SAN JOAQUIN RIVER","2,45,203"
"YYV","YOSEMITE AT YOSEMITE VALLEY","4200","37.74","-119.589","YOSEMITE VILLAGE","6","8701","0","0","204","25","0","MARIPOSA","MERCED R","Merced Irrigation District","SAN JOAQUIN RIVER","2,4,14,16,30,31,32,45"
